SPYGEN_code,sample code,site,treatment,Factor,C,N,pH,SOM,Deadwood volume
SPY213303,BBm3,Bettlachstock,managed,BettlachstockM,14.86,0.872,7.06,30.25862069,7.176517159
SPY213304,BBm6,Bettlachstock,managed,BettlachstockM,25.06,1.292,7.05,47.88226849,5.817393439
SPY213305,BBm8,Bettlachstock,managed,BettlachstockM,16.25,0.855,7.05,32.54177661,13.08636452
SPY213306,BBn3,Bettlachstock,natural,BettlachstockN,11.58,0.661,6.24,24.397463,378.6035825
SPY213307,BBn6,Bettlachstock,natural,BettlachstockN,18.33,0.854,5.88,38.76572798,107.0914332
SPY213308,BBn10,Bettlachstock,natural,BettlachstockN,25.03,1.376,6.07,50.53353659,64.84027135
SPY213309,FHm2,Furstenhalde,managed,FurstenhaldeM,5.33,0.305,4.41,8.40011873,0
SPY213310,FHm4,Furstenhalde,managed,FurstenhaldeM,6.26,0.342,6.19,15.00897666,19.42426773
SPY213311,FHm6,Furstenhalde,managed,FurstenhaldeM,7.58,0.428,4.19,10.33930858,6.569072632
SPY213312,FHn2,Furstenhalde,natural,FurstenhaldeN,7.76,0.507,7.05,14.46915127,201.0644847
SPY213313,FHn5,Furstenhalde,natural,FurstenhaldeN,4.58,0.294,5.82,9.755351682,92.33211629
SPY213314,FHn10,Furstenhalde,natural,FurstenhaldeN,2.65,0.16,4.76,6.739859713,60.79106663
SPY213315,SWm1,Sihlwald,managed,SihlwaldM,6.72,0.399,7.11,13.05841924,129.0768463
SPY213316,SWm5,Sihlwald,managed,SihlwaldM,3.69,0.256,5.23,9.194282001,124.9705558
SPY213317,SWm10,Sihlwald,managed,SihlwaldM,4.48,0.31,4.87,10.73322933,5.259656469
SPY213318,SWn1,Sihlwald,natural,SihlwaldN,4.71,0.329,5.41,10.77974526,334.0401699
SPY213319,SWn5,Sihlwald,natural,SihlwaldN,3.94,0.294,4.76,10.097254,190.3760768
SPY213320,SWn10,Sihlwald,natural,SihlwaldN,5.64,0.39,3.65,13.39084771,4.565513505
SPY213321,JWm7,Josenwald,managed,JosenwaldM,15.45,0.994,6.46,31.12669882,72.36530494
SPY213323,JWn1,Josenwald,natural,JosenwaldN,8.52,0.566,6.62,18.4169279,269.1209854
SPY213324,JWn9,Josenwald,natural,JosenwaldN,6.97,0.527,6.03,16.09841828,79.82092198
SPY213325,LWm7,Leihubelwald,managed,LeihubelwaldM,8.84,0.501,5.42,17.76691117,197.2571436
SPY213326,LWm8,Leihubelwald,managed,LeihubelwaldM,9.49,0.671,4.84,20.75949367,176.6060093
SPY213327,LWm10,Leihubelwald,managed,LeihubelwaldM,16.36,0.9,3.55,34.26365796,76.2522477
SPY213328,LWn2,Leihubelwald,natural,LeihubelwaldN,13.2,0.73,3.65,26.87609075,943.211404
SPY213329,LWn3,Leihubelwald,natural,LeihubelwaldN,10.02,0.58,4.85,21.08747045,268.9742289
SPY213330,SLm2,Scatle,managed,ScatleM,26.49,1.153,3.67,52.08333333,153.0852671
SPY213331,SLm9,Scatle,managed,ScatleM,10.08,0.458,3.21,20.83691602,67.23375765
SPY213332,SLn5,Scatle,natural,ScatleN,6.78,0.379,3.73,14.75843812,541.6194525
SPY213333,SLn6,Scatle,natural,ScatleN,10.81,0.533,3.76,22.81632653,402.0785204
SPY213334,SLn9,Scatle,natural,ScatleN,9.89,0.541,4.29,20.52698683,271.7677605
SPY213335,CBm1,Combe Biosse,managed,Combe BiosseM,7.89,0.423,5.01,12.7254509,19.13365026
SPY213336,CBm3,Combe Biosse,managed,Combe BiosseM,10.91,0.68,6.25,24.43064182,8.669350199
SPY213337,CBm5,Combe Biosse,managed,Combe BiosseM,27.33,1.438,6.61,56.11681137,66.46658129
SPY213338,CBn1,Combe Biosse,natural,Combe BiosseN,6.34,0.398,4.78,13.51174935,137.3144919
SPY213339,CBn5,Combe Biosse,natural,Combe BiosseN,9.69,0.658,5.61,20.45723295,101.1764341
SPY213340,CBn6,Combe Biosse,natural,Combe BiosseN,12.43,0.846,6.08,25.18394649,139.4237624
SPY213341,TAm5,Tariche,managed,TaricheM,14.83,0.872,7.06,30.82278481,38.71257389
SPY213342,TAm6,Tariche,managed,TaricheM,18.45,0.936,6.27,39.33085502,150.4445598
SPY213343,TAm8,Tariche,managed,TaricheM,19.12,1.077,6.94,39.41382327,73.54415685
SPY213344,TAn5,Tariche,natural,TaricheN,8.2,0.564,6,18.69679109,211.7409971
SPY213345,TAn7,Tariche,natural,TaricheN,11.26,0.703,6.77,24.47504303,62.57103378
SPY213346,TAn10,Tariche,natural,TaricheN,14.99,0.956,7.25,28.90682318,81.02333088
SPY213347,TXm2,Trelex,managed,TrelexM,9.04,0.495,4.73,9.158163265,113.3540418
SPY213348,TXm8,Trelex,managed,TrelexM,5.39,0.327,5.67,12.5990099,21.55591591
SPY213349,TXm9,Trelex,managed,TrelexM,4.73,0.293,5.53,11.50963597,4.633230955
SPY213350,TXn2,Trelex,natural,TrelexN,4.08,0.246,7.08,16.78643288,278.2234323
SPY213351,TXn6,Trelex,natural,TrelexN,4.31,0.256,5.28,13.41463415,188.236916